X,Y,mag,alti
564904.438756447,-1773582.79591434,-206.116226196289,2680.44946289063
565404.438756447,-1773582.79591434,-110.665954589844,2723.8935546875
565904.438756447,-1773582.79591434,-44.0640716552734,2773.64477539063
564904.438756447,-1773082.79591434,-124.225997924805,2689.60717773438
565404.438756447,-1773082.79591434,-89.3833312988281,2737.68896484375
565904.438756447,-1773082.79591434,24.9834823608398,2776.32421875
564904.438756447,-1772582.79591434,16.5379734039307,2692.35009765625
565404.438756447,-1772582.79591434,23.2053871154785,2737.24365234375
565904.438756447,-1772582.79591434,156.636291503906,2772.76708984375
536404.438756447,-1772082.79591434,-245.107070922852,2671.642578125
536904.438756447,-1772082.79591434,-226.441741943359,2691.74731445313
556904.438756447,-1772082.79591434,-141.292556762695,2202.18872070313
564904.438756447,-1772082.79591434,264.427947998047,2690.267578125
565404.438756447,-1772082.79591434,335.530975341797,2733.56030273438
565904.438756447,-1772082.79591434,397.460571289063,2764.60522460938
535904.438756447,-1771582.79591434,-259.107635498047,2647.83349609375
536404.438756447,-1771582.79591434,-255.933181762695,2675.08349609375
536904.438756447,-1771582.79591434,-224.134216308594,2695.84643554688
537404.438756447,-1771582.79591434,-206.648468017578,2713.53662109375
556404.438756447,-1771582.79591434,-126.049270629883,2189.21557617188
556904.438756447,-1771582.79591434,-136.114349365234,2204.8193359375
557404.438756447,-1771582.79591434,-154.010055541992,2202.58911132813
564904.438756447,-1771582.79591434,484.202362060547,2681.494140625
565404.438756447,-1771582.79591434,618.577514648438,2724.29516601563
565904.438756447,-1771582.79591434,610.241882324219,2749.81396484375
535904.438756447,-1771082.79591434,-274.504516601563,2644.35888671875
536404.438756447,-1771082.79591434,-289.322631835938,2673.97216796875
536904.438756447,-1771082.79591434,-264.686187744141,2695.431640625
537404.438756447,-1771082.79591434,-224.745330810547,2714.47338867188
556404.438756447,-1771082.79591434,-128.284851074219,2174.12377929688
556904.438756447,-1771082.79591434,-136.962127685547,2186.7060546875
557404.438756447,-1771082.79591434,-150.481689453125,2187.26513671875
564904.438756447,-1771082.79591434,542.218933105469,2661.70654296875
565404.438756447,-1771082.79591434,680.28564453125,2702.033203125
565904.438756447,-1771082.79591434,659.2861328125,2723.93676757813
535904.438756447,-1770582.79591434,-266.031158447266,2638.74731445313
536404.438756447,-1770582.79591434,-282.38818359375,2670.63891601563
536904.438756447,-1770582.79591434,-265.013214111328,2694.17041015625
537404.438756447,-1770582.79591434,-225.53759765625,2714.927734375
555904.438756447,-1770582.79591434,-127.953048706055,2140.25024414063
556404.438756447,-1770582.79591434,-130.811614990234,2151.0498046875
556904.438756447,-1770582.79591434,-137.787811279297,2159.76171875
557404.438756447,-1770582.79591434,-148.866760253906,2164.67578125
564904.438756447,-1770582.79591434,424.314056396484,2629.71850585938
565404.438756447,-1770582.79591434,531.371215820313,2661.50366210938
565904.438756447,-1770582.79591434,528.192810058594,2685.84716796875
